GeneSymb	GSM275676	GSM275677	GSM275678	GSM275679	GSM275680	GSM275681	GSM275682	GSM275683	GSM275684	GSM275685	GSM275686	GSM402417	GSM402418	GSM402419	GSM402420	GSM402421	GSM402422	GSM468593	GSM468594	GSM468595	GSM468596	GSM468597	GSM468598	GSM468599	GSM468600	GSM468601	GSM468602	GSM490043	GSM490044	GSM490045	GSM649496	GSM649497	GSM649498	GSM1230054_284_4795_04_03_2012.CEL	GSM1230055_284_4796_04_03_2012.CEL	GSM1230056_284_4797_04_03_2012.CEL
ABI2	 7.6025	 7.4674	 7.5452	 7.3896	 7.2130	 7.1628	 7.3507	 7.2771	 7.1807	 7.3102	 7.3097	 7.4839	 7.4891	 7.4328	 7.3359	 7.3033	 7.3270	 7.7765	 7.6020	 7.7256	 7.7082	 7.6795	 7.1304	 7.1153	 7.0818	 7.0207	 7.1132	 7.5233	 7.5506	 7.6516	 7.1753	 7.2462	 7.2249	 7.5236	 7.5943	 7.6077
ABI3	 6.5042	 6.3491	 6.2181	 6.3429	 6.6406	 6.8558	 6.5516	 6.6637	 6.7041	 6.4543	 6.4761	 6.1372	 6.6044	 6.3857	 6.7401	 6.4698	 6.6774	 6.4808	 6.6504	 6.5324	 6.5242	 6.3647	 6.5586	 6.5030	 6.5262	 6.6342	 6.2497	 6.5094	 6.3017	 6.4625	 6.6503	 6.8373	 6.2535	 6.4651	 6.2204	 6.5879
ABI3BP	 3.7620	 3.8566	 4.0945	 3.7998	 3.7980	 3.7717	 3.9088	 3.7799	 3.7052	 3.7143	 3.8521	 3.7104	 3.6832	 3.9652	 3.7289	 3.8862	 3.9410	 3.8529	 3.7423	 3.8110	 3.7356	 3.6874	 3.7458	 3.8560	 3.7417	 4.2479	 3.7709	 3.8585	 3.7230	 3.8438	 3.7412	 3.8649	 3.8835	 3.7053	 3.9215	 3.7985
ABL1	 8.4764	 8.4379	 8.4948	 8.0605	 8.4304	 8.2578	 8.6041	 8.6820	 9.0243	 8.8228	 8.5231	 8.5824	 8.7103	 8.5355	 8.5563	 8.4861	 8.5139	 8.9104	 9.0110	 9.0300	 9.1088	 8.9747	 8.2811	 8.2071	 7.9646	 7.9751	 8.1782	 8.7311	 8.6774	 8.6747	 8.3097	 8.4258	 8.5658	 8.7852	 8.6912	 8.6068
ABL2	 7.2220	 7.2491	 7.0319	 7.0869	 7.2223	 6.9465	 6.9907	 6.8790	 6.8776	 6.8532	 6.8185	 7.1952	 7.0817	 7.1145	 6.8782	 6.9335	 6.9848	 7.2255	 6.9045	 6.9841	 7.0072	 6.9407	 7.0174	 7.2089	 7.0944	 6.9762	 6.9544	 7.0351	 7.0984	 7.1273	 6.9284	 7.2122	 6.7865	 7.1320	 7.0521	 7.0767
ABLIM1	 7.3368	 7.0964	 7.3043	 7.1352	 8.1399	 8.2637	 8.3530	 7.6443	 7.8781	 7.5614	 7.4516	 7.3637	 7.4227	 7.2739	 8.0619	 7.6626	 7.7874	 7.7585	 7.4995	 7.3540	 7.4038	 7.7335	 7.6103	 7.6721	 7.5218	 7.7772	 7.6230	 7.3272	 7.5348	 7.3086	 7.6803	 7.9636	 7.7578	 7.4299	 7.3656	 7.3752
ABLIM2	 6.0154	 6.0770	 6.1180	 6.0471	 5.9297	 5.8590	 5.7023	 6.1648	 6.1344	 6.1011	 6.2089	 6.0695	 5.9216	 5.8197	 6.1819	 5.9275	 6.2275	 6.0246	 5.7676	 6.0221	 6.0901	 5.9738	 6.1660	 6.1067	 6.0551	 5.9501	 6.0900	 6.0361	 5.9955	 5.9550	 5.9843	 6.1305	 6.0462	 6.0794	 5.9434	 5.9638
ABLIM3	 6.3809	 6.5309	 6.1109	 6.2585	 6.3209	 6.4649	 6.1919	 6.5489	 6.7503	 6.4309	 6.3022	 6.3982	 6.5876	 5.8501	 6.2289	 6.4421	 6.4523	 5.6452	 6.3174	 5.7066	 5.6944	 5.6394	 6.8261	 6.8765	 6.7977	 6.9818	 6.7801	 6.1056	 6.1140	 6.0605	 6.6471	 6.4712	 6.5608	 6.2370	 6.0487	 5.9944
ABO	 5.3151	 5.8522	 5.9577	 5.9493	 5.7367	 5.7794	 5.9474	 6.2281	 6.2078	 6.0259	 6.1583	 5.7877	 6.0304	 5.8047	 5.8712	 5.8304	 6.0549	 5.5750	 5.4464	 6.0338	 6.0864	 5.7361	 6.0703	 5.9390	 6.0917	 6.0142	 5.9724	 5.8233	 5.6668	 5.9037	 5.9965	 6.0849	 5.9041	 5.9641	 5.7531	 5.6766
ABP1	 5.0938	 5.1202	 5.5172	 5.5485	 5.4161	 5.3426	 5.3969	 5.5365	 5.3970	 5.2212	 5.2441	 5.0026	 5.3364	 5.3357	 5.4828	 5.3158	 5.1693	 4.5235	 4.6103	 4.5909	 4.4869	 4.8290	 5.7975	 5.4818	 6.1915	 6.1055	 6.1207	 5.0734	 5.2109	 4.7144	 5.6001	 5.6060	 5.4378	 5.0431	 5.0215	 4.9340
ABR	 7.4167	 7.3437	 7.1152	 6.8724	 7.9659	 7.9731	 7.7705	 7.9106	 8.0086	 7.8128	 7.9042	 8.0383	 8.1454	 7.9792	 7.0851	 7.3950	 7.2187	 7.6516	 7.7963	 7.8200	 7.7592	 7.7300	 7.5112	 7.6010	 7.6131	 7.3701	 7.5838	 7.7026	 7.5402	 7.6743	 7.8891	 7.5971	 7.4585	 7.5484	 7.7414	 7.6271
ABRA	 3.6703	 3.5796	 3.9346	 3.6257	 3.7438	 3.9870	 3.8774	 3.8470	 3.6930	 3.6756	 3.8147	 3.9868	 3.6132	 3.6384	 3.8387	 3.6805	 3.8066	 3.8212	 3.9125	 3.7746	 3.6360	 3.6110	 3.6707	 3.5646	 4.0428	 3.9277	 3.6457	 3.6293	 3.7474	 3.8242	 3.8953	 3.7812	 3.6867	 3.7229	 3.6619	 3.8162
ABRACL	 9.0434	 8.8410	 8.6733	 8.5656	 9.5960	 9.7085	 9.6834	 9.6923	10.1845	10.1125	 9.9892	 9.5183	 9.4079	 9.4522	 9.3848	 9.3527	 9.1771	 9.2953	 8.9010	 9.2161	 9.0963	 9.0317	 9.8258	 9.5753	 9.3988	 9.7257	 9.7557	 9.0669	 9.1084	 9.0852	 9.5624	 9.4103	10.0597	 9.1635	 9.0312	 9.0659
ABT1	 8.6749	 8.5142	 8.8435	 8.8351	 9.2707	 9.3110	 8.9305	 8.3581	 8.3728	 8.5432	 8.4816	 8.7176	 8.6659	 8.7714	 8.8190	 8.6682	 8.8208	 8.7603	 8.7193	 8.8336	 8.8364	 8.9386	 8.7010	 8.7153	 8.6933	 8.6316	 8.6085	 8.8227	 8.6232	 8.8319	 8.7318	 8.7885	 8.6648	 8.7195	 8.8050	 8.7532
ABTB1	 6.2008	 5.9045	 5.9621	 5.7588	 5.7915	 5.8321	 5.6143	 6.0107	 6.0499	 5.8046	 5.8569	 5.8406	 5.9293	 5.8629	 5.8781	 5.8160	 5.9955	 5.8510	 5.6719	 5.9598	 5.7725	 5.8175	 5.9157	 6.0153	 5.9914	 6.0113	 5.8645	 5.8823	 5.8300	 5.9207	 5.9921	 5.8974	 5.8001	 5.9079	 5.8754	 5.8496
ABTB2	 7.0372	 6.5136	 6.8024	 6.6577	 6.9472	 7.1638	 7.0024	 7.2721	 7.3403	 7.4441	 7.2929	 6.9505	 7.0980	 7.0056	 6.9364	 7.0131	 7.1401	 7.1816	 7.1083	 7.1943	 7.0221	 6.8755	 6.9550	 7.0303	 7.1227	 6.9163	 6.8334	 7.1496	 6.8581	 6.8541	 7.0722	 7.1519	 7.0579	 7.0177	 6.9176	 6.9263
ACAA1	 8.8787	 8.8509	 9.3784	 9.1890	 9.7163	 9.7926	 9.7497	 9.4934	 9.7684	 9.2190	 9.1974	 9.1186	 9.2172	 9.1299	 9.3707	 9.4492	 9.6479	 9.0848	 9.1717	 9.0323	 9.0196	 9.0403	 9.5633	 9.5326	 9.5611	 9.6226	 9.5943	 9.1453	 9.0645	 9.0681	 9.6881	 9.4538	 9.5138	 9.0473	 9.1514	 9.0791
ACAA2	 8.2653	 7.9640	 8.0144	 7.7808	 9.1333	 9.1669	 9.0643	 8.8906	 8.9153	 8.6618	 8.6154	 8.4587	 8.3480	 8.4659	 8.5373	 8.6343	 8.6542	 8.4083	 8.4081	 8.3376	 8.2584	 8.3210	 8.6145	 8.7210	 8.7468	 8.6967	 8.6515	 8.2319	 8.2041	 8.3216	 8.8860	 8.7075	 8.7473	 8.2244	 8.2327	 8.3005
ACACA	 8.1036	 8.3366	 8.4788	 8.3564	 8.3651	 8.2677	 8.3939	 7.5047	 7.5840	 7.8172	 7.6344	 8.4930	 8.2834	 8.0787	 7.9017	 7.9017	 7.9190	 7.9174	 7.9510	 8.0094	 7.8493	 8.1626	 8.1612	 8.1923	 8.2538	 8.2593	 8.2060	 8.1983	 8.1792	 8.1275	 8.0135	 8.1174	 7.9415	 8.0839	 8.1675	 8.2536
ACCS	 6.2632	 6.2742	 6.5474	 6.2536	 6.7674	 6.7637	 6.7634	 6.8015	 6.6659	 6.5310	 6.3745	 6.9574	 6.6121	 6.1791	 6.6685	 6.4572	 6.1994	 6.4239	 6.4660	 6.1240	 6.2946	 6.2685	 6.7766	 6.5669	 6.7037	 6.7768	 6.7218	 6.5500	 6.2357	 6.3803	 6.5510	 6.7943	 6.5623	 6.5474	 6.2968	 6.3219
ACD	 8.3279	 8.3546	 8.7274	 8.3872	 8.9858	 9.0123	 8.8848	 8.7684	 9.0483	 8.8734	 8.8070	 9.0220	 9.0049	 9.0649	 8.3434	 8.4218	 8.6306	 8.8710	 8.7855	 8.8867	 8.8259	 8.9186	 8.6990	 8.7352	 8.5632	 8.5877	 8.6067	 8.8344	 8.7533	 8.7065	 8.7165	 8.6263	 8.8508	 8.7652	 8.7824	 8.7466
ACE	 5.2121	 5.1944	 5.1796	 5.2026	 5.3783	 5.8203	 5.4520	 5.5276	 5.6021	 5.1776	 5.2565	 5.3671	 5.1502	 5.1283	 5.3826	 5.5411	 5.4716	 5.4619	 4.9290	 5.3666	 5.4844	 5.3606	 5.3195	 5.1064	 5.2833	 5.5887	 5.5014	 5.1922	 5.4682	 5.0989	 5.4895	 5.3544	 5.4379	 5.2971	 5.2152	 5.2469
ACE2	 4.3627	 4.3640	 4.4729	 4.6248	 4.2967	 4.3276	 4.4575	 4.6315	 4.6286	 4.4760	 4.3838	 4.3142	 4.2401	 4.4935	 4.4271	 4.5369	 4.7164	 4.4448	 4.3000	 4.7470	 4.5011	 4.4937	 4.2725	 4.3303	 4.2445	 4.7568	 4.4563	 4.3862	 4.3864	 4.5671	 4.4449	 4.3307	 4.6130	 4.3121	 4.5543	 4.4732
ACER1	 4.9028	 5.1514	 4.9719	 5.1550	 5.3996	 5.2480	 5.0510	 5.1982	 5.2461	 5.2857	 5.2729	 5.0120	 5.2211	 4.8416	 5.0218	 5.2909	 5.4011	 4.9279	 5.3266	 4.7471	 4.9653	 4.6062	 5.5029	 5.0807	 5.5743	 5.4304	 5.1525	 5.4406	 4.7107	 4.8059	 4.9743	 5.3162	 5.5408	 4.5991	 5.0431	 5.3150
ACER3	 6.6342	 6.2443	 5.8731	 6.0277	 6.5656	 6.3947	 6.7264	 6.2674	 6.3894	 6.6784	 6.7173	 6.3994	 6.3840	 6.6165	 6.3227	 6.4683	 6.2627	 6.5831	 6.2827	 6.5721	 6.5179	 6.6907	 6.3646	 6.2945	 6.2909	 6.1708	 6.3219	 6.3633	 6.3488	 6.4943	 6.5307	 6.4631	 6.2534	 6.4183	 6.4229	 6.3653
ACHE	 6.1105	 5.9907	 6.1279	 6.0466	 5.7393	 5.5859	 5.5809	 5.8058	 5.7968	 5.5979	 5.7710	 5.6256	 5.8203	 5.7310	 5.8011	 6.0140	 6.0104	 5.9740	 5.7000	 5.7367	 5.5407	 5.6729	 5.9804	 5.8735	 5.8867	 6.1016	 5.8711	 5.8954	 5.8467	 5.7771	 5.7408	 5.5471	 6.1954	 5.9226	 5.8352	 5.7615
ACIN1	 7.6651	 7.9621	 7.9942	 7.5811	 8.5231	 8.4886	 8.3576	 8.6036	 8.7171	 8.6150	 8.4897	 8.2023	 8.3726	 8.0612	 8.0567	 8.6235	 8.1098	 8.1065	 8.5806	 8.2318	 8.2122	 8.3514	 8.1935	 8.0657	 8.1103	 8.3685	 8.1561	 8.2140	 8.0591	 8.0572	 8.4259	 8.3363	 8.3335	 8.0197	 8.2252	 8.0853
ACLY	 9.2198	 9.1125	 9.2614	 8.9070	11.3055	11.3599	11.2540	10.1449	10.2363	10.4149	10.3952	10.0934	 9.8554	10.0193	 9.9643	10.1194	 9.9939	 9.4704	 9.5781	 9.4900	 9.4797	 9.4936	10.4868	10.4385	10.5096	10.6135	10.5157	 9.5078	 9.4886	 9.4987	10.4843	10.4866	10.5795	 9.4650	 9.5585	 9.4716
ACMSD	 4.3105	 4.2260	 4.4552	 4.4289	 4.3546	 4.2669	 4.3133	 4.5301	 4.2487	 4.3700	 4.7313	 4.3556	 4.2629	 4.4884	 4.4087	 4.2466	 4.4015	 4.3309	 4.3128	 4.2245	 4.0054	 3.8509	 4.7234	 4.6159	 4.3414	 4.4787	 4.7219	 4.1794	 4.5366	 4.0970	 4.2812	 4.4694	 4.6000	 4.3072	 4.1133	 4.3925
ACN9	 3.8264	 3.8835	 4.2557	 3.8339	 3.8423	 3.9391	 3.8161	 3.9302	 3.7490	 3.9222	 3.8830	 3.8388	 3.9550	 3.8207	 3.7476	 3.8641	 4.2522	 3.7023	 3.8639	 4.1065	 4.1564	 4.3629	 3.6255	 4.0290	 3.8352	 3.6015	 3.8474	 4.1240	 3.9313	 3.8462	 3.7969	 3.7322	 4.0478	 3.9369	 3.9651	 3.9995
ACO1	 8.1130	 7.7648	 8.1010	 8.2670	 8.3167	 8.2586	 8.4249	 8.0189	 8.2114	 8.1513	 7.9180	 7.8278	 8.0466	 7.8957	 8.3367	 8.4953	 8.1117	 8.2544	 8.1847	 8.0601	 7.8035	 8.1600	 8.0612	 8.0824	 8.1099	 8.2257	 8.2476	 7.8226	 8.0683	 8.2288	 8.2975	 8.1431	 8.1534	 7.9620	 8.0482	 8.1095
ACOT8	 7.2694	 7.2242	 7.2101	 7.0702	 7.3070	 7.3988	 7.4181	 6.6937	 6.9203	 6.7060	 6.6556	 7.2517	 7.1076	 6.9642	 6.8698	 7.1791	 7.0796	 6.8322	 6.7862	 7.0291	 6.9441	 7.0359	 7.3412	 7.0653	 7.2973	 7.3531	 7.0688	 7.1290	 6.9361	 7.1161	 6.7947	 7.2811	 7.1949	 7.0697	 7.1530	 6.9585
ACOT9	 8.9633	 8.6630	 8.7195	 8.5015	 8.9686	 8.8977	 9.0922	 8.5896	 8.7157	 8.4217	 8.4492	 8.6265	 8.4831	 8.8778	 8.8476	 8.8903	 8.7362	 9.1075	 8.8555	 8.9644	 9.0078	 8.9415	 8.2706	 8.5057	 8.6504	 8.5598	 8.5723	 8.7999	 8.7694	 8.8585	 8.7822	 8.7690	 8.4824	 8.7696	 8.8637	 8.7945
ACOX1	 6.8964	 6.4346	 6.4919	 6.3386	 6.8526	 6.8938	 7.0020	 7.0690	 7.1680	 6.9403	 6.7568	 6.4481	 6.4318	 6.4801	 7.0436	 7.0083	 7.0358	 6.6637	 6.3549	 6.5946	 6.5024	 6.4994	 7.0291	 7.0805	 6.8517	 6.8350	 7.0016	 6.4885	 6.4758	 6.5699	 6.8987	 7.0593	 6.9557	 6.4829	 6.5000	 6.5512
ACOX2	 4.2978	 4.4104	 4.7791	 4.3725	 5.8807	 5.9099	 6.0414	 6.8158	 6.8112	 6.6077	 6.5584	 5.6569	 5.4636	 5.5246	 5.5694	 5.5735	 5.6821	 5.6843	 5.8411	 5.4282	 5.5370	 5.4517	 5.4927	 5.7764	 5.3751	 5.3917	 5.8050	 5.5709	 4.8670	 5.1739	 6.0271	 6.0721	 5.7590	 5.2947	 5.1382	 5.1790
ACOX3	 7.3054	 7.1033	 7.3920	 6.9577	 7.5649	 7.6156	 7.4982	 7.3175	 7.4792	 7.5525	 7.5415	 7.4014	 7.5071	 7.1660	 7.4410	 7.5462	 7.4422	 7.9059	 7.6615	 7.9084	 7.8618	 7.8891	 7.1563	 6.8077	 6.8823	 7.0300	 7.0701	 7.5515	 7.4274	 7.5360	 7.3395	 7.4001	 7.2495	 7.5359	 7.5539	 7.4252
ACOXL	 4.5442	 4.5393	 4.7128	 4.6842	 4.7863	 4.7714	 4.5953	 5.1250	 4.8801	 4.6693	 4.7849	 4.5873	 4.5905	 4.6334	 4.8616	 4.7552	 4.8457	 4.7713	 4.6778	 4.7065	 4.4215	 4.6488	 4.8003	 4.8969	 4.7852	 4.6823	 4.7323	 4.6357	 4.7221	 4.5216	 4.6849	 4.8182	 4.8913	 4.6764	 4.5995	 4.6035
ACP1	 8.5361	 8.4749	 8.4784	 8.3399	 9.1625	 8.9623	 9.0764	 9.2183	 9.3418	 9.3291	 9.2925	 8.9043	 8.8722	 8.9901	 8.8897	 8.8226	 8.9425	 9.0786	 9.0917	 8.9675	 9.0452	 8.9719	 8.8730	 8.7634	 8.7564	 8.8273	 8.6607	 8.8748	 8.7919	 8.7710	 8.9821	 9.0302	 8.9714	 8.8160	 8.7734	 8.8483
ACP2	 7.7909	 7.3642	 7.3384	 7.5184	 9.0308	 9.0970	 8.6156	 8.8709	 9.2084	 8.6287	 8.6521	 8.4959	 8.3397	 8.5058	 8.3211	 8.1495	 8.0604	 8.3773	 8.3172	 8.3482	 8.2518	 8.3661	 8.3002	 8.1454	 8.5470	 8.4144	 8.0530	 8.1408	 8.0512	 8.0615	 8.3980	 8.6334	 8.5875	 8.0971	 8.0671	 8.0893
ACP5	 6.0738	 5.8822	 5.8919	 5.5934	 5.5939	 5.4366	 5.7581	 5.8336	 5.7665	 5.9468	 5.9099	 5.5662	 5.8373	 6.0598	 5.6273	 5.7066	 5.8976	 5.5492	 5.6785	 5.7683	 5.6852	 5.4865	 6.1672	 5.7668	 5.8457	 5.9131	 5.9643	 5.7356	 5.8485	 5.6840	 5.6857	 6.1417	 5.5994	 6.1020	 5.4287	 5.7374
ACP6	 8.6608	 8.1517	 8.2566	 8.0762	 8.5732	 8.6002	 8.4796	 9.3470	 9.5188	 9.4844	 9.5075	 8.7552	 8.8522	 8.8564	 8.5143	 8.5069	 8.8335	 8.5038	 8.2795	 8.4180	 8.4348	 8.4371	 9.0780	 8.9710	 8.9924	 8.9964	 9.0866	 8.5672	 8.4126	 8.4407	 9.1340	 8.9825	 8.7815	 8.3800	 8.4743	 8.5663
ACPL2	 6.7410	 6.6314	 6.8059	 6.5269	 6.0574	 6.0588	 6.1295	 5.8557	 5.8394	 5.8844	 5.8218	 6.0923	 6.4102	 6.3320	 6.3989	 6.1362	 6.2719	 6.1511	 6.2176	 6.7712	 6.6827	 6.5505	 6.3319	 6.0759	 6.0125	 5.6607	 6.2819	 6.4598	 6.4917	 6.5268	 5.9131	 6.0490	 6.2013	 6.4193	 6.5711	 6.4878
ACPP	 5.0987	 4.9643	 4.6072	 4.7319	 4.8941	 5.0027	 4.9418	 5.3723	 5.5124	 5.3388	 5.3275	 4.7646	 4.9315	 4.9836	 5.2777	 4.9920	 5.1042	 4.8333	 4.7589	 4.7862	 4.7926	 4.0793	 5.2401	 5.5238	 5.3217	 5.3101	 5.4431	 4.7988	 4.8138	 4.7204	 5.1138	 5.2482	 5.3585	 4.7657	 4.7189	 4.8484
ACPT	 6.9921	 6.5966	 6.7547	 6.6710	 7.0464	 7.1217	 7.0847	 6.8471	 6.9910	 6.9781	 6.7228	 6.6565	 6.7941	 6.7091	 7.0253	 6.9471	 7.0787	 6.8532	 6.6420	 6.9644	 7.1446	 6.6320	 7.0413	 6.7003	 6.7522	 6.9566	 6.9983	 6.8402	 6.7433	 6.7691	 6.8812	 6.9558	 7.0214	 7.1126	 6.5752	 6.6648
ACR	 5.5372	 5.0915	 5.3819	 4.9701	 5.0189	 5.2143	 5.0970	 5.1144	 5.1179	 5.2572	 5.3081	 5.5065	 5.0021	 5.1916	 5.0172	 5.2171	 5.2456	 5.1437	 5.1018	 5.4868	 5.1802	 4.9877	 5.2126	 5.2286	 5.1215	 5.2524	 5.2517	 5.3188	 5.1542	 5.1722	 5.2960	 4.7448	 5.4942	 4.7656	 5.4911	 5.3886
ACRBP	 5.6139	 5.4365	 5.5897	 5.5231	 5.5720	 5.6276	 5.6017	 5.7421	 5.7619	 5.6603	 5.7347	 5.5861	 5.6343	 5.3048	 5.7687	 5.7262	 5.5848	 5.5627	 5.5121	 5.6722	 5.4624	 5.2947	 5.6550	 5.9333	 5.4864	 5.9215	 5.5079	 5.2841	 5.7154	 5.5486	 5.8421	 5.5433	 5.6714	 5.5651	 5.4060	 5.5770
ACRC	 5.6153	 5.6119	 5.7763	 5.5908	 5.7098	 5.5275	 5.5279	 5.7320	 5.6177	 5.7052	 5.6811	 5.6226	 5.4419	 5.9868	 5.5673	 5.5993	 5.6204	 5.4446	 5.7292	 5.3385	 5.7785	 5.5058	 6.0652	 5.3585	 5.7912	 6.0418	 5.3440	 5.5567	 5.6375	 5.6663	 5.6037	 5.4729	 5.9013	 5.8683	 5.4677	 5.5246
ACRV1	 4.9819	 5.4119	 5.4779	 5.5124	 5.0561	 5.1331	 5.1020	 5.2991	 5.1032	 5.4150	 5.5508	 5.2202	 5.1347	 5.1493	 5.4804	 5.2676	 5.3560	 4.9982	 5.3394	 5.2990	 5.1311	 5.1798	 5.2516	 5.2944	 5.3578	 5.5673	 5.2618	 5.1957	 5.2815	 5.2316	 5.1928	 5.4145	 5.2918	 5.2097	 5.4858	 5.0134
ACSBG1	 5.1233	 5.0789	 5.1348	 4.9725	 5.1376	 5.1333	 5.1577	 5.2683	 5.3961	 5.0676	 5.2860	 4.9249	 5.1159	 4.9526	 5.2291	 5.2291	 5.4568	 5.1411	 4.8494	 5.3030	 5.3668	 5.4903	 5.1903	 5.1829	 4.9157	 4.9337	 5.1407	 5.1273	 5.2791	 4.9570	 5.1068	 4.9354	 5.5028	 5.1742	 5.2350	 4.9541
ACSBG2	 5.2735	 5.2802	 5.8524	 5.4525	 5.3028	 5.5174	 5.4504	 5.1704	 5.1567	 5.4948	 5.3341	 5.1775	 5.1649	 5.6126	 5.5078	 5.2685	 5.6594	 5.5160	 5.2951	 5.6288	 5.2323	 5.6859	 5.4562	 5.1468	 5.1672	 5.4324	 5.4238	 5.3963	 5.4016	 5.4951	 5.3549	 5.4671	 5.2758	 5.4692	 5.4063	 5.4174
ACSF2	 7.8581	 8.0128	 8.0970	 7.8172	 7.9754	 8.1418	 8.0148	 8.0113	 8.3130	 7.9258	 7.7808	 7.2737	 7.4137	 7.3138	 8.5003	 8.4397	 8.3607	 7.0940	 7.0356	 7.0869	 7.3279	 7.3615	 8.5992	 8.4673	 8.5965	 8.5751	 8.6926	 7.5582	 7.4930	 7.3719	 8.1464	 8.3688	 8.3636	 7.8290	 7.3850	 7.2090
ACSF3	 6.3320	 6.3248	 6.5517	 6.3636	 6.5530	 6.5757	 6.4906	 6.5497	 6.4778	 6.2684	 6.3328	 6.4155	 6.4353	 6.2203	 6.4625	 6.4673	 6.5099	 6.1988	 6.4355	 6.4588	 6.4082	 6.0086	 6.4869	 6.4552	 6.5807	 6.6103	 6.5415	 6.4245	 6.3361	 6.2777	 6.4796	 6.4272	 6.5657	 6.3257	 6.3109	 6.4017
ACSL1	 9.0412	 8.7627	 8.5967	 8.4788	 7.9017	 7.8965	 7.9454	 8.1473	 8.3055	 7.9772	 7.9333	 7.3138	 7.1169	 7.3855	 9.0237	 9.0490	 9.0739	 7.4441	 7.1045	 7.3117	 7.1910	 7.2944	 8.9921	 9.0126	 9.0708	 8.9740	 9.2096	 7.7409	 7.7962	 7.7232	 8.5621	 8.6017	 8.5387	 7.7467	 7.8298	 7.6837
ACSL3	 9.7736	 9.2299	 8.9718	 8.7821	 8.9069	 8.5123	 9.0939	 9.1913	 9.2900	 9.0427	 8.8621	 8.7587	 9.0338	 8.8895	 9.3999	 9.3499	 9.1669	 9.7224	 9.2515	 9.4702	 9.4965	 9.5798	 8.7828	 8.7226	 8.5985	 8.5691	 8.8039	 9.2304	 9.2525	 9.2570	 8.9652	 9.0359	 8.8575	 9.2446	 9.2501	 9.2453
ACSL4	 4.1796	 4.2855	 4.4460	 4.5082	 4.2119	 4.1335	 4.0672	 4.3302	 4.3280	 4.2815	 4.3738	 4.2669	 4.1364	 4.3533	 4.0989	 4.3108	 4.6173	 4.3448	 4.3951	 4.4571	 4.4111	 4.2822	 4.3001	 4.2514	 4.1091	 4.1720	 4.2499	 4.2477	 4.4798	 4.2890	 4.4958	 4.0018	 4.2695	 4.3386	 4.1587	 4.5193
ACSM1	 5.2718	 5.3018	 5.1991	 5.3315	 5.2091	 5.3483	 5.4218	 5.2509	 5.2537	 5.2607	 5.2748	 5.2203	 5.0779	 5.2806	 5.2803	 5.4292	 5.3167	 4.6965	 5.2858	 5.2159	 5.0904	 5.5142	 5.4818	 5.2693	 5.4312	 5.5128	 5.1772	 5.1245	 5.1006	 5.3964	 5.4134	 5.4939	 5.0763	 5.1396	 5.1508	 5.3309
ACSM2B	 4.1962	 3.9011	 4.0443	 3.8643	 3.9536	 4.0211	 4.0529	 3.9140	 3.8872	 3.8714	 3.7050	 4.2494	 3.5317	 3.5453	 3.8655	 4.0324	 4.3654	 3.9203	 3.9135	 3.5551	 3.9986	 3.8075	 4.3313	 3.9912	 3.8943	 3.9071	 3.9974	 3.9891	 3.9211	 3.7216	 3.8984	 4.0218	 4.0377	 3.9094	 3.8654	 3.8570
ACSM3	 5.4035	 5.4618	 5.6535	 5.4444	 4.7705	 4.6524	 4.7221	 5.2150	 5.3521	 5.1907	 5.0739	 4.9990	 5.3835	 4.9758	 5.1151	 5.1516	 5.3369	 4.5976	 4.8482	 4.6546	 4.8127	 4.9848	 5.8489	 5.5955	 5.1218	 5.3264	 5.8130	 5.1601	 5.0640	 5.0808	 5.1842	 5.2340	 5.2390	 5.0826	 5.0833	 5.1389
ACSM5	 5.0739	 4.9353	 5.3608	 4.9100	 5.2964	 5.3884	 5.1582	 5.2779	 5.1049	 5.1451	 5.2496	 4.8597	 5.1274	 5.1945	 5.2088	 5.1953	 5.3422	 5.0733	 5.2490	 5.2948	 4.9159	 5.0635	 5.1626	 5.0795	 5.1266	 5.3992	 5.1820	 4.9682	 5.1598	 5.1364	 5.3148	 5.2261	 5.1224	 4.9730	 5.1244	 5.1671
ACSS1	 6.1277	 6.1486	 5.9145	 5.9337	 5.9829	 6.0072	 6.0558	 6.1734	 6.0608	 6.0158	 6.1694	 6.0618	 6.0771	 6.0516	 5.9559	 5.9617	 6.1905	 6.0742	 6.0651	 5.8926	 6.0704	 6.0106	 6.0922	 6.0747	 6.0918	 6.1475	 5.9786	 6.0914	 5.9406	 6.0750	 6.0597	 6.0402	 6.0918	 6.2084	 5.8688	 6.0299
ACSS2	 8.0687	 7.8462	 8.0112	 7.7404	 7.9188	 7.8694	 7.7908	 7.8154	 7.9333	 8.0232	 7.8770	 7.5790	 7.9251	 7.6233	 7.9275	 7.9878	 8.0094	 7.5180	 7.4386	 7.4811	 7.1765	 7.1670	 8.1254	 8.3997	 8.3022	 8.4420	 8.3698	 7.5995	 7.5877	 7.7066	 8.0871	 7.7349	 8.3363	 7.4002	 7.7078	 7.7857
ACSS3	 7.2991	 6.9623	 7.1562	 7.1954	 7.2620	 7.1564	 7.3140	 7.7709	 7.7849	 7.4578	 7.3142	 7.0056	 7.2547	 6.9774	 7.5554	 7.3184	 7.4136	 6.7110	 6.8554	 6.7408	 6.6199	 6.7628	 7.8248	 7.7613	 7.6138	 7.7314	 7.9204	 7.0287	 6.8962	 6.9603	 7.4427	 7.5912	 7.6060	 6.7081	 7.1666	 7.0105
